id,behavior
243,MB_ISOLATED_VERTICAL_RAIL
244,MB_VERTICAL_RAIL
247,MB_VERTICAL_RAIL
251,MB_HORIZONTAL_RAIL
252,MB_VERTICAL_RAIL
253,MB_HORIZONTAL_RAIL
254,MB_JUMP_WEST
255,MB_JUMP_EAST
262,MB_JUMP_WEST
263,MB_JUMP_EAST
268,MB_BERRY_TREE_SOIL
270,MB_JUMP_WEST
271,MB_JUMP_EAST
278,MB_JUMP_WEST
279,MB_JUMP_EAST
283,MB_OCEAN_WATER
284,MB_SAND
285,MB_OCEAN_WATER
286,MB_JUMP_WEST
287,MB_JUMP_EAST
291,MB_OCEAN_WATER
292,MB_SAND
293,MB_OCEAN_WATER
294,MB_JUMP_WEST
295,MB_JUMP_EAST
299,MB_OCEAN_WATER
300,MB_OCEAN_WATER
301,MB_OCEAN_WATER
302,MB_BERRY_TREE_SOIL
303,MB_BERRY_TREE_SOIL
315,MB_SHALLOW_WATER
316,MB_SHALLOW_WATER
317,MB_SAND
318,MB_SAND
323,MB_SHALLOW_WATER
324,MB_SHALLOW_WATER
325,MB_OCEAN_WATER
326,MB_OCEAN_WATER
327,MB_INTERIOR_DEEP_WATER
332,MB_BERRY_TREE_SOIL
334,MB_DEEP_WATER
335,MB_DEEP_WATER
342,MB_INTERIOR_DEEP_WATER
343,MB_SHALLOW_WATER
350,MB_SHALLOW_WATER
351,MB_SHALLOW_WATER
358,MB_SHALLOW_WATER
359,MB_SHALLOW_WATER
366,MB_SHALLOW_WATER
367,MB_SHALLOW_WATER
368,MB_OCEAN_WATER
369,MB_OCEAN_WATER
370,MB_OCEAN_WATER
371,MB_MOUNTAIN_TOP
372,MB_OCEAN_WATER
376,MB_OCEAN_WATER
377,MB_OCEAN_WATER
379,MB_MOUNTAIN_TOP
384,MB_OCEAN_WATER
385,MB_OCEAN_WATER
387,MB_POND_WATER
389,MB_SHALLOW_WATER
390,MB_SHALLOW_WATER
392,MB_OCEAN_WATER
393,MB_OCEAN_WATER
394,MB_OCEAN_WATER
395,MB_POND_WATER
397,MB_SHALLOW_WATER
398,MB_SHALLOW_WATER
400,MB_OCEAN_WATER
401,MB_MOUNTAIN_TOP
402,MB_OCEAN_WATER
403,MB_OCEAN_WATER
405,MB_SHALLOW_WATER
406,MB_SHALLOW_WATER
407,MB_SHALLOW_WATER
408,MB_OCEAN_WATER
409,MB_OCEAN_WATER
410,MB_OCEAN_WATER
411,MB_SHALLOW_WATER
412,MB_SHALLOW_WATER
413,MB_SHALLOW_WATER
414,MB_SHALLOW_WATER
415,MB_SHALLOW_WATER
416,MB_SECRET_BASE_SPOT_RED_CAVE
417,MB_SECRET_BASE_SPOT_RED_CAVE_OPEN
419,MB_OCEAN_WATER
420,MB_OCEAN_WATER
421,MB_SHALLOW_WATER
422,MB_SHALLOW_WATER
423,MB_SHALLOW_WATER
424,MB_SECRET_BASE_SPOT_YELLOW_CAVE
425,MB_SECRET_BASE_SPOT_YELLOW_CAVE_OPEN
429,MB_OCEAN_WATER
430,MB_SHALLOW_WATER
431,MB_OCEAN_WATER
432,MB_SECRET_BASE_SPOT_BLUE_CAVE
433,MB_SECRET_BASE_SPOT_BLUE_CAVE_OPEN
437,MB_OCEAN_WATER
439,MB_OCEAN_WATER
445,MB_OCEAN_WATER
446,MB_OCEAN_WATER
447,MB_OCEAN_WATER
454,MB_TALL_GRASS
455,MB_TALL_GRASS
461,MB_ANIMATED_DOOR
468,MB_UP_RIGHT_STAIR_WARP
469,MB_UP_LEFT_STAIR_WARP
470,MB_UP_RIGHT_STAIR_WARP
471,MB_UP_LEFT_STAIR_WARP
475,MB_ANIMATED_DOOR
476,MB_DOWN_RIGHT_STAIR_WARP
477,MB_DOWN_LEFT_STAIR_WARP
478,MB_DOWN_RIGHT_STAIR_WARP
479,MB_DOWN_LEFT_STAIR_WARP
484,MB_DOWN_RIGHT_STAIR_WARP
485,MB_DOWN_LEFT_STAIR_WARP
486,MB_DOWN_RIGHT_STAIR_WARP
487,MB_DOWN_LEFT_STAIR_WARP
492,MB_DOWN_RIGHT_STAIR_WARP
493,MB_DOWN_LEFT_STAIR_WARP
498,MB_DOWN_LEFT_STAIR_WARP
499,MB_DOWN_RIGHT_STAIR_WARP
502,MB_OCEAN_WATER
503,MB_OCEAN_WATER
504,MB_BUMPY_SLOPE
505,MB_BUMPY_SLOPE
506,MB_SHALLOW_WATER
507,MB_SHALLOW_WATER
510,MB_POND_WATER
511,MB_POND_WATER
